User_ID,Transaction_Date,Transaction_Amount
U0210,2023-02-11,146.06
U0216,2023-04-18,239.04
U0219,2023-04-23,1107.03
U0222,2023-07-05,192.84
U0230,2023-06-24,371.1
U0238,2023-06-20,777.56
U0239,2023-06-27,612.38
U0240,2023-02-18,245.97
U0245,2023-05-04,432.35
U0246,2023-03-09,288.19
U0247,2023-05-06,532.57
U0251,2023-05-28,760.82
U0252,2023-02-13,215.64
U0253,2023-06-17,1860.09
U0256,2023-06-07,372.89
U0257,2023-03-10,321.39
U0259,2023-06-07,1018.27
U0262,2023-05-06,370.41
U0263,2023-06-22,894.92
U0269,2023-06-24,612.91
U0273,2023-04-21,473.66
U0274,2023-06-19,418.83
U0275,2023-04-15,180.32
U0278,2023-05-02,522.29
U0281,2023-06-29,355.86
U0282,2023-06-28,553.23
U0283,2023-06-29,192.1
U0284,2023-03-31,192.6
U0288,2023-02-24,92.1
U0293,2023-06-12,238.51
U0294,2023-05-20,411.41
U0295,2023-02-13,348.89
U0297,2023-05-04,266.86
U0298,2023-05-09,659.57
U0299,2023-02-08,803.92
U0301,2023-02-25,932.16
U0303,2023-03-09,669.48
U0304,2023-01-24,967.08
U0306,2023-02-11,812.18
U0308,2023-02-19,464.52
U0310,2023-02-10,294.28
U0311,2023-05-07,75.23
U0317,2023-03-03,356.15
U0323,2023-01-26,379.02
U0327,2023-02-11,389.55
U0331,2023-04-14,967.98
U0333,2023-06-21,756.92
U0334,2023-06-27,69.91
U0335,2023-03-17,33.79
U0337,2023-02-07,938.87
U0339,2023-03-09,487.05
U0343,2023-07-09,984.14
U0348,2023-04-11,685.54
U0359,2023-02-26,513.2
U0361,2023-02-18,427.51
U0363,2023-03-02,650.72
U0365,2023-06-13,384.67
U0366,2023-01-19,426.23
U0367,2023-03-15,289.57
U0368,2023-06-07,236.72
U0375,2023-05-29,376.87
U0376,2023-06-01,83.89
U0378,2023-06-15,350.95
U0379,2023-04-11,113.4
U0383,2023-04-11,649.07
U0384,2023-03-04,365.12
U0386,2023-03-18,221.87
U0392,2023-02-27,269.07
U0393,2023-07-22,714.85
U0397,2023-03-12,509.04
U0400,2023-03-08,768.01
U0409,2023-02-26,405.37
U0412,2023-07-06,449.52
U0413,2023-03-01,641.97
U0415,2023-01-27,301.32
U0419,2023-06-29,322.07
U0420,2023-06-09,403.42
U0423,2023-03-19,603.41
U0424,2023-01-31,888.53
U0425,2023-04-15,647.07
U0428,2023-05-13,1631.5
U0429,2023-03-25,485.22
U0432,2023-06-04,432.45
U0433,2023-06-06,978.91
U0437,2023-01-18,667.34
U0438,2023-02-22,395.33
U0439,2023-04-24,856.38
U0440,2023-05-21,278.6
U0442,2023-02-23,424.29
U0443,2023-04-12,600.29
U0445,2023-05-16,376.89
U0446,2023-01-26,367.65
U0447,2023-03-24,464.1
U0451,2023-06-14,446.2
U0453,2023-07-16,812.99
U0455,2023-02-05,614.27
U0459,2023-06-13,1339.57
U0460,2023-07-10,845.29
U0463,2023-04-27,452.33
U0466,2023-02-10,310.47
U0468,2023-03-19,209.45
U0469,2023-04-28,533.79
U0471,2023-07-04,273.17
U0472,2023-05-31,421.2
U0478,2023-01-25,618.51
U0483,2023-06-27,292.58
U0484,2023-04-02,649.94
U0487,2023-07-11,1077.87
U0494,2023-04-21,542.39
U0498,2023-06-26,364.28
U0499,2023-07-06,280.74
U0502,2023-02-21,371.42
U0503,2023-02-12,491.62
U0504,2023-06-12,884.83
U0506,2023-04-18,367.41
U0507,2023-03-02,702.01
U0508,2023-06-01,664.66
U0511,2023-04-21,694.52
U0516,2023-06-30,789.24
U0517,2023-05-05,1341.76
U0520,2023-03-12,249.98
U0522,2023-03-29,861.45
U0523,2023-06-26,312.25
U0525,2023-06-29,400.91
U0526,2023-02-13,163.5
U0528,2023-06-04,460.05
U0530,2023-06-20,875.17
U0533,2023-02-12,584.69
U0534,2023-04-15,626.67
U0539,2023-05-10,85.33
U0540,2023-01-23,287.0
U0542,2023-04-28,241.82
U0543,2023-04-27,650.44
U0544,2023-02-09,173.18
U0549,2023-05-05,1711.3
U0550,2023-04-09,388.28
U0551,2023-06-04,169.46
U0554,2023-04-22,268.77
U0555,2023-06-01,771.95
U0557,2023-03-27,387.47
U0558,2023-01-26,146.26
U0560,2023-05-16,134.49
U0562,2023-04-11,637.4
U0564,2023-06-14,577.86
U0571,2023-05-19,201.39
U0572,2023-03-02,526.6
U0574,2023-06-06,421.42
U0580,2023-06-11,211.88
U0597,2023-02-09,1105.94
U0598,2023-05-11,898.53
U0601,2023-06-28,690.57
U0603,2023-04-07,773.08
U0607,2023-04-11,733.16
U0609,2023-03-25,344.94
U0612,2023-02-18,447.5
U0618,2023-04-21,883.43
U0619,2023-04-18,266.48
U0623,2023-07-02,809.72
U0624,2023-06-13,460.86
U0625,2023-05-19,140.06
U0627,2023-06-15,182.26
U0634,2023-04-19,764.22
U0639,2023-07-04,617.19
U0640,2023-05-11,498.33
U0641,2023-05-20,747.58
U0643,2023-02-28,552.32
U0649,2023-06-17,384.66
U0652,2023-06-23,604.44
U0654,2023-02-05,943.71
U0655,2023-06-07,1428.29
U0656,2023-03-04,878.15
U0658,2023-01-29,1143.11
U0659,2023-06-10,311.46
U0662,2023-05-06,1571.49
U0664,2023-05-23,320.1
U0666,2023-06-06,624.18
U0667,2023-01-25,553.46
U0668,2023-03-27,150.6
U0669,2023-01-28,890.56
U0670,2023-04-28,383.67
U0674,2023-01-20,245.97
U0675,2023-05-06,591.38
U0677,2023-06-23,321.1
U0678,2023-04-21,858.97
U0679,2023-05-26,357.38
U0680,2023-03-25,441.81
U0681,2023-07-04,1084.87
U0685,2023-06-14,323.62
U0688,2023-06-20,456.28
U0689,2023-06-03,948.15
U0690,2023-03-09,575.95
U0692,2023-05-31,220.92
U0693,2023-04-12,143.18
U0696,2023-06-14,304.6
U0700,2023-04-29,643.66
U0701,2023-01-18,1128.72
U0711,2023-03-12,927.8
U0712,2023-04-14,257.43
U0713,2023-03-18,392.85
U0715,2023-07-06,1101.15
U0717,2023-04-29,106.97
U0721,2023-06-16,517.19
U0722,2023-03-13,255.37
U0723,2023-01-25,1160.68
U0725,2023-06-04,1061.9
U0728,2023-02-02,573.76
U0741,2023-02-11,351.01
U0743,2023-04-16,1298.84
U0744,2023-04-21,281.82
U0747,2023-06-17,630.42
U0748,2023-06-22,468.12
U0749,2023-05-15,992.28
U0750,2023-01-23,111.7
U0752,2023-03-01,676.65
U0753,2023-01-28,786.34
U0755,2023-05-18,1086.92
U0756,2023-03-13,345.38
U0758,2023-05-12,313.66
U0760,2023-06-16,274.4
U0762,2023-06-06,293.75
U0764,2023-03-23,1160.11
U0768,2023-02-16,702.6
U0769,2023-03-11,119.14
U0779,2023-02-08,599.08
U0781,2023-03-04,189.25
U0782,2023-04-01,460.93
U0786,2023-05-28,452.41
U0787,2023-06-03,469.81
U0789,2023-02-10,253.89
U0792,2023-02-12,591.97
U0794,2023-03-18,716.23
U0801,2023-04-19,164.42
U0803,2023-06-05,489.72
U0804,2023-01-23,484.31
U0809,2023-04-27,641.93
U0812,2023-06-25,476.19
U0813,2023-07-21,84.92
U0814,2023-03-15,774.65
U0815,2023-05-25,715.11
U0816,2023-03-11,326.33
U0818,2023-02-01,360.7
U0819,2023-01-23,300.4
U0820,2023-04-19,756.58
U0821,2023-06-26,393.73
U0824,2023-06-16,345.9
U0828,2023-01-22,776.69
U0830,2023-02-27,848.79
U0833,2023-04-11,129.7
U0838,2023-03-02,745.27
U0841,2023-04-10,58.0
U0842,2023-05-07,350.11
U0844,2023-03-07,423.2
U0845,2023-03-09,924.64
U0850,2023-01-27,672.91
U0851,2023-05-11,108.73
U0853,2023-07-04,485.64
U0858,2023-02-20,1109.02
U0859,2023-04-06,536.27
U0860,2023-05-23,358.45
U0862,2023-06-14,921.06
U0864,2023-03-16,472.53
U0865,2023-05-13,555.12
U0866,2023-01-28,138.38
U0872,2023-02-25,405.89
U0873,2023-05-13,1359.84
U0874,2023-02-02,520.47
U0876,2023-02-12,232.25
U0887,2023-05-30,483.26
U0888,2023-03-24,190.42
U0891,2023-05-01,452.2
U0895,2023-01-23,283.76
U0896,2023-07-04,219.55
U0898,2023-04-03,392.35
U0900,2023-06-27,712.53
U0902,2023-01-20,589.47
U0903,2023-07-16,49.25
U0907,2023-04-30,510.35
U0909,2023-02-13,1490.84
U0910,2023-06-25,190.29
U0914,2023-01-14,589.67
U0915,2023-04-11,533.43
U0916,2023-03-25,1047.02
U0920,2023-06-09,670.92
U0921,2023-03-13,582.47
U0922,2023-06-01,286.76
U0926,2023-02-17,573.43
U0928,2023-01-24,598.85
U0929,2023-03-26,335.63
U0932,2023-04-01,291.31
U0933,2023-06-01,211.74
U0937,2023-07-19,148.39
U0939,2023-04-10,694.84
U0942,2023-07-05,317.52
U0943,2023-07-03,260.11
U0944,2023-02-27,83.22
U0945,2023-05-21,73.26
U0946,2023-03-24,818.44
U0947,2023-06-10,297.6
U0949,2023-03-29,485.05
U0950,2023-01-31,511.69
U0958,2023-03-16,108.63
U0959,2023-02-22,1085.27
U0960,2023-02-25,196.65
U0961,2023-05-18,1379.35
U0965,2023-01-13,493.69
U0966,2023-06-27,279.2
U0967,2023-06-05,184.25
U0968,2023-07-11,686.91
U0969,2023-01-28,392.44
U0970,2023-01-28,295.59
U0971,2023-06-22,75.35
U0972,2023-06-07,273.3
U0978,2023-04-10,466.68
U0979,2023-03-16,554.4
U0984,2023-01-15,117.71
U0986,2023-06-17,87.84
U0988,2023-06-23,45.31
U0992,2023-03-23,302.34
U0993,2023-03-15,247.25
U0999,2023-06-16,709.71
U1000,2023-04-06,719.57
