User_ID,Signup_Date,KYC_Completed,KYC_Date,Account_Linked,Link_Date,Transaction_Completed,Transaction_Date,Support_Date,Issue_Type
U0852,2023-04-09,1,2023-04-14,1,2023-04-15,1,2023-04-20,2023-04-30,Trust Issue
U0827,2023-05-13,1,2023-05-16,1,2023-05-22,1,2023-06-01,2023-05-31,KYC Delay
U0773,2023-03-20,1,2023-03-25,1,2023-03-27,0,,2023-03-22,App Bug
U0048,2023-01-14,1,2023-01-18,1,2023-01-25,1,2023-02-06,2023-01-27,Link Failure
U0709,2023-03-26,1,2023-03-29,1,2023-04-02,1,2023-04-11,2023-04-22,KYC Delay
U0145,2023-06-09,1,2023-06-12,1,2023-06-13,0,,2023-06-29,KYC Delay
U0201,2023-05-10,1,2023-05-13,0,,0,,2023-05-26,Link Failure
U0275,2023-04-03,1,2023-04-06,1,2023-04-12,1,2023-04-23,2023-04-13,App Bug
U0189,2023-04-23,1,2023-04-28,1,2023-04-29,1,2023-05-07,2023-05-01,Trust Issue
U0569,2023-01-25,1,2023-01-27,1,2023-02-01,1,2023-02-03,2023-01-28,KYC Delay
U0673,2023-04-27,1,2023-04-30,1,2023-05-05,0,,2023-05-07,Trust Issue
U0193,2023-04-23,1,2023-04-27,0,,0,,2023-05-04,App Bug
U0565,2023-04-27,1,2023-04-28,1,2023-05-01,0,,2023-04-30,App Bug
U0357,2023-02-12,1,2023-02-15,1,2023-02-17,1,2023-03-01,2023-03-04,Trust Issue
U0434,2023-05-09,1,2023-05-10,1,2023-05-12,1,2023-05-23,2023-05-21,App Bug
U0387,2023-05-05,1,2023-05-06,0,,0,,2023-05-19,KYC Delay
U0219,2023-04-03,0,,0,,0,,2023-04-14,Trust Issue
U0411,2023-02-24,1,2023-03-01,1,2023-03-05,0,,2023-03-11,App Bug
U0062,2023-02-19,1,2023-02-23,1,2023-03-02,0,,2023-03-10,Trust Issue
U0258,2023-05-11,1,2023-05-15,1,2023-05-22,0,,2023-05-31,KYC Delay
U0474,2023-04-06,1,2023-04-07,1,2023-04-10,0,,2023-04-29,App Bug
U0647,2023-03-02,0,,0,,0,,2023-03-12,KYC Delay
U0495,2023-01-12,1,2023-01-13,0,,0,,2023-02-07,App Bug
U0140,2023-05-23,1,2023-05-28,1,2023-06-04,0,,2023-05-31,Link Failure
U0760,2023-05-31,1,2023-06-02,1,2023-06-08,1,2023-06-19,2023-06-29,App Bug
U0634,2023-04-02,0,,0,,0,,2023-04-06,Trust Issue
U0304,2023-01-08,1,2023-01-10,1,2023-01-15,1,2023-01-18,2023-01-29,App Bug
U0923,2023-05-11,1,2023-05-16,1,2023-05-18,1,2023-05-31,2023-05-18,KYC Delay
U0115,2023-02-06,1,2023-02-11,1,2023-02-12,0,,2023-03-06,KYC Delay
U0077,2023-01-15,1,2023-01-19,0,,0,,2023-02-06,App Bug
U0711,2023-03-04,1,2023-03-09,1,2023-03-16,0,,2023-03-07,Trust Issue
U0593,2023-06-17,1,2023-06-19,1,2023-06-21,1,2023-07-04,2023-06-24,Link Failure
U0556,2023-05-27,1,2023-05-31,1,2023-06-05,1,2023-06-10,2023-05-31,Trust Issue
U0328,2023-04-03,1,2023-04-07,1,2023-04-13,1,2023-04-19,2023-04-20,Link Failure
U0306,2023-01-27,0,,0,,0,,2023-02-05,KYC Delay
U0888,2023-03-08,0,,0,,0,,2023-03-11,Trust Issue
U0507,2023-02-15,1,2023-02-17,1,2023-02-19,1,2023-03-02,2023-03-05,Link Failure
U0589,2023-05-25,1,2023-05-27,0,,0,,2023-06-04,App Bug
U0346,2023-02-01,1,2023-02-02,0,,0,,2023-02-14,KYC Delay
U0840,2023-02-25,1,2023-03-01,1,2023-03-05,1,2023-03-16,2023-03-01,App Bug
U0191,2023-04-23,1,2023-04-24,1,2023-04-30,0,,2023-05-05,KYC Delay
U0333,2023-06-09,1,2023-06-10,1,2023-06-16,1,2023-06-23,2023-06-11,Trust Issue
U0001,2023-04-13,1,2023-04-14,0,,0,,2023-05-07,Trust Issue
U0268,2023-06-13,1,2023-06-16,0,,0,,2023-06-27,KYC Delay
U0298,2023-04-29,1,2023-04-30,1,2023-05-04,1,2023-05-11,2023-05-15,KYC Delay
U0255,2023-04-09,0,,0,,0,,2023-05-06,KYC Delay
U0274,2023-06-02,1,2023-06-07,1,2023-06-11,1,2023-06-25,2023-06-08,Trust Issue
U0247,2023-04-23,0,,0,,0,,2023-05-15,Link Failure
U0410,2023-04-09,0,,0,,0,,2023-04-27,App Bug
U0033,2023-06-24,1,2023-06-25,1,2023-06-28,0,,2023-07-20,App Bug
U0091,2023-03-12,0,,0,,0,,2023-04-05,Trust Issue
U0015,2023-06-01,1,2023-06-04,1,2023-06-06,1,2023-06-16,2023-06-26,App Bug
U0094,2023-05-09,1,2023-05-12,1,2023-05-16,1,2023-05-19,2023-06-04,KYC Delay
U0869,2023-05-31,1,2023-06-02,1,2023-06-07,1,2023-06-16,2023-06-07,Link Failure
U0735,2023-04-20,0,,0,,0,,2023-05-19,App Bug
U0766,2023-04-13,0,,0,,0,,2023-05-05,Link Failure
U0315,2023-01-04,1,2023-01-09,1,2023-01-14,1,2023-01-26,2023-01-27,KYC Delay
U0150,2023-06-19,1,2023-06-21,1,2023-06-27,0,,2023-07-01,App Bug
U0343,2023-06-23,1,2023-06-26,1,2023-06-28,0,,2023-07-12,Trust Issue
U0626,2023-02-27,1,2023-03-04,1,2023-03-11,0,,2023-03-04,Link Failure
U0567,2023-04-09,1,2023-04-11,1,2023-04-17,1,2023-04-29,2023-04-13,KYC Delay
U0276,2023-05-26,1,2023-05-30,1,2023-06-05,1,2023-06-16,2023-06-09,Link Failure
U0369,2023-02-26,1,2023-03-03,1,2023-03-04,0,,2023-03-22,App Bug
U0601,2023-06-14,1,2023-06-16,0,,0,,2023-06-24,App Bug
U0041,2023-01-21,0,,0,,0,,2023-02-12,Trust Issue
U0034,2023-02-20,1,2023-02-25,0,,0,,2023-02-27,KYC Delay
U0373,2023-03-06,1,2023-03-08,1,2023-03-10,1,2023-03-21,2023-04-02,KYC Delay
U0730,2023-06-14,1,2023-06-17,1,2023-06-21,1,2023-06-24,2023-07-13,Trust Issue
U0508,2023-05-10,1,2023-05-11,1,2023-05-15,1,2023-05-22,2023-05-23,Trust Issue
U0207,2023-05-03,1,2023-05-06,1,2023-05-10,1,2023-05-12,2023-05-06,KYC Delay
U0468,2023-03-10,1,2023-03-12,1,2023-03-19,1,2023-03-31,2023-03-14,Link Failure
U0299,2023-01-22,1,2023-01-23,1,2023-01-27,0,,2023-01-26,Link Failure
U0195,2023-05-10,1,2023-05-12,1,2023-05-18,1,2023-05-28,2023-06-08,Trust Issue
U0185,2023-01-12,1,2023-01-16,1,2023-01-21,0,,2023-01-25,Link Failure
U0558,2023-01-09,1,2023-01-11,0,,0,,2023-01-25,KYC Delay
U0175,2023-06-21,0,,0,,0,,2023-07-01,App Bug
U0215,2023-05-24,1,2023-05-25,1,2023-05-30,1,2023-06-08,2023-06-17,App Bug
U0121,2023-06-24,1,2023-06-25,1,2023-06-29,0,,2023-07-03,Link Failure
U0600,2023-01-29,1,2023-01-31,1,2023-02-02,0,,2023-02-10,Trust Issue
U0796,2023-02-12,1,2023-02-17,1,2023-02-23,0,,2023-03-01,Trust Issue
U0841,2023-04-04,1,2023-04-06,1,2023-04-10,1,2023-04-17,2023-05-01,Trust Issue
U0935,2023-04-23,1,2023-04-24,1,2023-04-30,1,2023-05-02,2023-05-21,Trust Issue
U0533,2023-02-05,1,2023-02-08,0,,0,,2023-03-03,Trust Issue
U0009,2023-05-02,1,2023-05-04,1,2023-05-08,1,2023-05-19,2023-05-25,Link Failure
U0133,2023-06-28,0,,0,,0,,2023-07-03,App Bug
U0588,2023-03-15,1,2023-03-19,1,2023-03-20,0,,2023-04-13,App Bug
U0599,2023-01-05,1,2023-01-06,1,2023-01-10,1,2023-01-24,2023-01-07,Link Failure
U0204,2023-06-09,0,,0,,0,,2023-07-04,Trust Issue
U0805,2023-05-12,1,2023-05-16,1,2023-05-23,0,,2023-05-20,Link Failure
U0327,2023-01-24,1,2023-01-28,1,2023-02-01,0,,2023-01-27,App Bug
U0566,2023-03-10,1,2023-03-13,1,2023-03-14,1,2023-03-25,2023-04-04,KYC Delay
U0241,2023-04-09,1,2023-04-12,1,2023-04-14,0,,2023-05-08,Link Failure
U0933,2023-05-14,1,2023-05-16,1,2023-05-18,0,,2023-05-20,Trust Issue
U0335,2023-03-08,1,2023-03-13,1,2023-03-14,1,2023-03-15,2023-03-16,App Bug
U0252,2023-02-06,1,2023-02-07,1,2023-02-13,1,2023-02-19,2023-02-11,App Bug
U0555,2023-05-20,1,2023-05-25,0,,0,,2023-05-26,App Bug
U0389,2023-02-27,1,2023-02-28,1,2023-03-05,0,,2023-03-24,App Bug
